id,region_id,store_id,deal_id,status,platform_category_id
669,54,65,14,0,3
670,54,65,15,0,3
671,54,65,16,0,3
672,54,65,17,0,13
673,54,65,18,0,13
674,54,65,19,0,13
675,54,65,20,0,13
676,54,65,21,0,13
677,54,65,22,0,4
678,54,65,23,0,4
679,54,65,24,0,4
680,54,65,25,0,4
681,54,65,26,0,4
682,54,65,27,0,4
683,54,65,28,0,4
684,54,65,29,0,3
685,54,65,30,0,3
686,54,65,31,0,3
687,54,65,32,0,3
688,54,65,33,0,13
689,54,65,34,0,13
690,54,65,35,0,13
691,54,65,36,0,13
692,54,65,37,0,13
693,54,65,38,0,13
694,54,65,39,0,13
695,54,65,40,0,13
696,54,65,41,0,13
697,54,65,42,0,13
698,54,99,1,0,3
699,54,99,3,0,13
700,54,99,4,0,5
701,54,99,5,0,14
702,54,99,6,0,4
703,54,99,7,0,4
704,54,99,8,0,4
705,54,99,9,0,4
706,54,99,10,0,4
707,54,99,11,0,4
708,54,99,12,0,4
709,54,99,13,0,3
710,54,99,14,0,3
711,54,99,15,0,3
712,54,99,16,0,3
713,54,99,17,0,13
714,54,99,18,0,13
715,54,99,19,0,13
716,54,99,20,0,13
717,54,99,21,0,13
718,54,99,22,0,4
719,54,99,23,0,4
720,54,99,24,0,4
721,54,99,25,0,4
722,54,99,26,0,4
723,54,99,27,0,4
724,54,99,28,0,4
725,54,99,29,0,3
726,54,99,30,0,3
727,54,99,31,0,3
728,54,99,32,0,3
729,54,99,33,0,13
730,54,99,34,0,13
731,54,99,35,0,13
732,54,99,36,0,13
733,54,99,37,0,13
734,54,99,38,0,13
735,54,99,39,0,13
736,54,99,40,0,13
737,54,99,41,0,13
738,54,99,42,0,13
739,54,105,1,0,3
740,54,105,3,0,13
741,54,105,4,0,5
742,54,105,5,0,14
743,54,105,6,0,4
744,54,105,7,0,4
745,54,105,8,0,4
746,54,105,9,0,4
747,54,105,10,0,4
748,54,105,11,0,4
749,54,105,12,0,4
750,54,105,13,0,3
751,54,105,14,0,3
752,54,105,15,0,3
753,54,105,16,0,3
754,54,105,17,0,13
755,54,105,18,0,13
756,54,105,19,0,13
757,54,105,20,0,13
758,54,105,21,0,13
759,54,105,22,0,4
760,54,105,23,0,4
761,54,105,24,0,4
762,54,105,25,0,4
763,54,105,26,0,4
764,54,105,27,0,4
765,54,105,28,0,4
766,54,105,29,0,3
767,54,105,30,0,3
768,54,105,31,0,3
